book,score
619,309
620,410
621,136
622,83
623,512
624,549
625,316
626,585
627,155
628,322
629,379
630,270
631,554
632,67
633,343
634,7
635,374
636,441
637,483
638,516
639,159
640,533
641,129
642,184
643,23
644,266
645,439
646,236
647,82
648,595
649,179
650,371
651,505
652,245
653,80
654,561
655,334
656,312
657,257
658,349
659,106
660,143
661,506
662,88
663,162
664,513
665,501
666,280
667,49
668,284
669,314
670,150
671,222
672,478
673,472
674,305
675,85
676,15
677,192
678,140
679,476
680,294
681,578
682,259
683,300
684,230
685,511
686,397
687,295
688,572
689,524
690,374
691,584
692,88
693,56
694,12
695,590
696,518
697,485
698,20
699,107
700,464
701,154
702,57
703,137
704,370
705,161
706,488
707,348
708,345
709,364
710,330
711,275
712,504
713,387
714,63
715,343
716,505
717,208
718,299
719,46
720,581
721,380
722,64
723,281
724,400
725,162
726,568
727,505
728,324
729,25
730,5
731,209
732,464
733,231
734,472
735,557
736,36
737,232
738,90
739,576
740,412
741,574
742,170
743,35
744,574
745,203
746,467
747,273
748,498
749,41
750,600
751,183
752,510
753,43
754,255
755,393
756,27
757,108
758,328
759,560
760,191
761,125
762,377
763,143
764,176
765,205
766,415
767,341
768,33
769,288
770,219
771,85
772,44
773,458
774,182
775,440
776,212
777,349
778,178
779,429
780,390
781,453
782,383
783,526
784,428
785,485
786,87
787,332
788,45
789,163
790,183
791,165
792,76
793,390
794,466
795,537
796,548
797,16
798,547
799,445
800,365
801,198
802,415
803,558
804,413
805,372
806,100
807,471
808,302
809,517
810,354
811,366
812,551
813,240
814,53
815,192
816,186
817,399
818,548
819,517
820,522
821,17
822,25
823,102
824,71
825,71
826,69
827,523
828,424
829,260
830,351
831,473
832,251
833,597
834,449
835,200
836,564
837,120
838,48
839,323
840,319
841,561
842,86
843,521
844,291
845,87
846,477
847,336
848,518
849,325
850,242
851,265
852,287
853,172
854,91
855,214
856,316
857,557
858,94
859,224
860,504
861,13
862,336
863,358
864,448
865,202
866,591
867,535
868,315
869,250
870,493
871,424
872,260
873,2
874,201
875,586
876,77
877,124
878,67
879,266
880,138
881,130
882,188
883,44
884,543
885,230
886,528
887,290
888,574
889,36
890,137
891,445
892,41
893,15
894,177
895,495
896,264
897,392
898,76
899,447
900,472
901,214
902,351
903,91
904,409
905,527
906,593
907,268
908,441
909,308
910,108
911,555
912,578
913,26
914,392
915,169
916,53
917,141
918,333
919,125
920,586
921,479
922,506
923,86
924,286
925,222
926,55
927,200
928,230
929,500
930,43
931,324
932,302
933,232
934,227
935,495
936,529
937,65
938,312
939,404
940,36
941,531
942,547
943,510
944,507
945,298
946,144
947,230
948,359
949,83
950,133
951,267
952,371
953,475
954,13
955,151
956,298
957,294
958,85
959,373
960,464
961,449
962,297
963,121
964,329
965,332
966,148
967,320
968,1
969,23
970,91
971,191
972,280
973,277
974,149
975,223
976,33
977,222
978,89
979,181
980,408
981,78
982,268
983,208
984,279
985,523
986,198
987,44
988,251
989,20
990,215
991,595
992,439
993,580
994,115
995,211
996,389
997,550
998,199
999,51
1000,316
1001,3
1002,470
1003,182
1004,163
1005,478
1006,101
1007,274
1008,208
1009,225
1010,392
1011,355
1012,541
1013,120
1014,463
1015,441
1016,319
1017,571
1018,544
1019,456
1020,261
1021,170
1022,554
1023,469
1024,498
1025,112
1026,323
1027,574
1028,558
1029,290
1030,367
1031,546
1032,431
1033,561
1034,405
1035,528
1036,280
1037,363
1038,48
1039,380
1040,595
1041,575
1042,39
1043,300
1044,416
1045,391
1046,25
1047,120
1048,450
1049,24
1050,273
1051,528
1052,466
1053,333
1054,545
1055,448
1056,171
1057,530
1058,102
1059,334
1060,489
1061,356
1062,288
1063,67
1064,518
1065,126
1066,444
1067,376
1068,26
1069,102
1070,160
1071,184
1072,151
1073,574
1074,115
1075,507
1076,255
1077,398
1078,510
1079,396
1080,202
1081,542
1082,163
1083,568
1084,319
1085,593
1086,504
1087,158
1088,286
1089,574
1090,328
1091,46
1092,104
1093,48
1094,543
1095,234
1096,580
1097,229
1098,71
1099,249
1100,432
1101,148
1102,188
1103,138
1104,15
1105,87
1106,368
1107,574
1108,324
1109,32
1110,555
1111,30
1112,292
1113,552
1114,115
1115,387
1116,241
1117,123
1118,140
1119,309
1120,385
1121,351
1122,149
1123,315
1124,33
1125,506
1126,127
1127,9
1128,375
1129,459
1130,218
1131,304
1132,243
1133,225
1134,261
1135,591
1136,225
1137,457
1138,114
1139,223
1140,533
1141,227
1142,124
1143,212
1144,395
1145,563
1146,134
1147,95
1148,19
1149,285
1150,281
1151,296
1152,494
1153,345
1154,417
1155,265
1156,375
1157,351
1158,84
1159,294
1160,376
1161,484
1162,49
1163,313
1164,200
1165,306
1166,1
1167,114
1168,214
1169,557
1170,220
1171,347
1172,173
1173,58
1174,316
1175,41
1176,180
1177,330
1178,502
1179,206
1180,177
1181,388
1182,202
1183,52
1184,569
1185,153
1186,287
1187,308
1188,366
1189,193
1190,299
1191,556
1192,166
1193,235
1194,215
1195,367
1196,68
1197,41
1198,396
1199,463
1200,157
1201,58
1202,12
1203,533
1204,561
1205,505
1206,55
1207,353
1208,379
1209,538
1210,192
1211,221
1212,463
1213,453
1214,579
1215,115
1216,328
1217,163
1218,469
1219,544
1220,475
1221,213
1222,336
1223,424
1224,507
1225,213
1226,34
1227,560
1228,41
1229,532
1230,441
1231,554
1232,400
1233,442
1234,53
1235,171
1236,443
1237,355
1238,585
1239,337
1240,308
1241,223
1242,88
1243,200
1244,513
1245,330
1246,576
1247,571
1248,197
1249,210
1250,262
1251,416
1252,592
1253,48
1254,182
1255,100
1256,92
1257,509
1258,364
1259,142
1260,133
1261,349
1262,420
1263,32
1264,164
1265,353
1266,202
1267,239
1268,345
1269,278
1270,183
1271,268
1272,474
1273,403
1274,17
1275,162
1276,268
1277,193
1278,102
1279,112
1280,484
1281,435
1282,229
1283,105
1284,371
1285,388
1286,409
1287,158
1288,532
1289,447
1290,290
1291,254
1292,371
1293,42
1294,74
1295,252
1296,364
1297,460
1298,449
1299,422
1300,29
1301,173
1302,237
1303,38
1304,369
1305,485
1306,497
1307,153
1308,98
1309,268
1310,521
1311,436
1312,426
1313,561
1314,359
1315,215
1316,286
1317,6
1318,414
1319,50
1320,472
1321,441
1322,41
1323,380
1324,463
1325,109
1326,14
1327,354
1328,581
1329,406
1330,76
1331,324
1332,141
1333,100
1334,94
1335,83
1336,383
1337,279
1338,163
1339,255
1340,297
1341,289
1342,315
1343,565
1344,315
1345,569
1346,569
1347,510
1348,503
1349,179
1350,584
1351,586
1352,532
1353,508
1354,395
1355,587
1356,158
1357,484
1358,340
1359,103
1360,547
1361,172
1362,392
1363,36
1364,380
1365,31
1366,526
1367,64
1368,174
1369,325
1370,338
1371,385
1372,420
1373,90
1374,403
1375,558
1376,339
1377,350
1378,541
1379,585
1380,321
1381,437
1382,563
1383,548
1384,331
1385,230
1386,205
1387,472
1388,490
1389,457
1390,233
1391,69
1392,249
1393,370
1394,393
1395,364
1396,54
1397,178
1398,161
1399,152
1400,154
1401,180
1402,532
1403,34
1404,535
1405,341
1406,482
1407,260
1408,557
1409,301
1410,256
1411,149
1412,225
1413,26
1414,260
1415,115
1416,98
1417,491
1418,435
1419,103
1420,433
1421,154
1422,352
1423,330
1424,293
1425,203
1426,251
1427,310
1428,543
1429,65
1430,429
1431,55
1432,81
1433,480
1434,467
1435,480
1436,446
1437,445
1438,198
1439,314
1440,198
1441,153
1442,102
1443,470
1444,105
1445,428
1446,326
1447,412
1448,357
1449,223
1450,128
1451,524
1452,38
1453,338
1454,190
1455,2
1456,416
1457,259
1458,386
1459,15
1460,524
1461,592
1462,115
1463,314
1464,349
1465,556
1466,141
1467,157
1468,302
1469,133
1470,483
1471,123
1472,322
1473,87
1474,291
1475,552
1476,87
1477,401
1478,478
1479,377
1480,95
1481,132
1482,282
1483,483
1484,37
1485,436
1486,238
1487,87
1488,489
1489,111
1490,538
1491,3
1492,176
1493,563
1494,161
1495,483
1496,467
1497,301
1498,372
1499,54
1500,233
1501,99
1502,172
1503,302
1504,572
1505,434
1506,539
1507,127
1508,133
1509,187
1510,223
1511,264
1512,357
1513,25
1514,348
1515,47
1516,218
1517,486
1518,269
1519,487
1520,546
1521,419
1522,303
1523,581
1524,262
1525,470
1526,194
1527,9
1528,462
1529,334
1530,325
1531,447
1532,389
1533,394
1534,85
1535,220
1536,41
1537,415
1538,105
1539,206
1540,105
1541,16
1542,349
1543,557
1544,131
1545,376
1546,513
1547,30
1548,465
1549,547
1550,318
1551,541
1552,55
1553,522
1554,60
1555,410
1556,556
1557,301
1558,147
1559,181
1560,123
1561,547
1562,572
1563,124
1564,37
1565,478
1566,538
1567,235
1568,268
1569,409
1570,67
1571,314
1572,46
1573,459
1574,157
1575,354
1576,452
1577,477
1578,127
1579,353
1580,286
1581,87
1582,141
1583,46
1584,38
1585,329
1586,199
1587,102
1588,309
1589,389
1590,135
1591,77
1592,389
1593,218
1594,125
1595,48
1596,165
1597,34
1598,528
1599,318
1600,146
1601,573
1602,67
1603,583
1604,216
1605,295
1606,354
1607,77
1608,597
1609,405
1610,368
1611,583
1612,342
1613,341
1614,215
1615,453
1616,249
1617,75
1618,402
1619,357
1620,390
1621,480
1622,306
1623,428
1624,138
1625,508
1626,420
1627,304
1628,1
1629,588
1630,483
1631,466
1632,79
1633,423
1634,471
1635,321
1636,12
1637,50
1638,497
1639,161
1640,402
1641,548
1642,521
1643,531
1644,268
1645,539
1646,111
1647,294
1648,524
1649,197
1650,483
1651,579
1652,201
1653,171
1654,505
1655,86
1656,412
1657,208
1658,412
1659,488
1660,381
1661,87
1662,86
1663,161
1664,383
1665,330
1666,401
1667,139
1668,228
1669,199
1670,45
1671,554
1672,566
1673,301
1674,583
1675,192
1676,588
1677,596
1678,570
1679,245
1680,189
1681,586
1682,12
1683,427
1684,532
1685,298
1686,295
1687,215
1688,487
1689,223
1690,75
1691,84
1692,542
1693,327
1694,581
1695,113
1696,541
1697,178
1698,206
1699,267
1700,158
1701,370
1702,211
1703,341
1704,230
1705,36
1706,324
1707,155
1708,138
1709,36
1710,547
1711,487
1712,70
1713,127
1714,202
1715,338
1716,585
1717,162
1718,313
1719,268
1720,433
1721,136
1722,403
1723,215
1724,598
1725,312
1726,205
1727,254
1728,358
1729,429
1730,330
1731,411
1732,37
1733,582
1734,70
1735,301
1736,46
1737,582
1738,77
1739,488
1740,18
1741,31
1742,358
1743,343
1744,531
1745,223
1746,97
1747,388
1748,318
1749,221
1750,130
1751,96
1752,179
1753,12
1754,34
1755,462
1756,59
1757,590
1758,257
1759,154
1760,205
1761,300
1762,409
1763,464
1764,372
1765,481
1766,418
1767,214
1768,513
1769,431
1770,254
1771,243
1772,160
1773,153
1774,48
1775,249
1776,418
1777,151
1778,557
1779,589
1780,582
1781,192
1782,175
1783,408
1784,452
1785,506
1786,162
1787,133
1788,120
1789,373
1790,397
1791,259
1792,335
1793,349
1794,215
1795,45
1796,66
1797,294
1798,196
1799,469
1800,60
1801,594
1802,18
1803,591
1804,377
1805,462
1806,44
1807,81
1808,60
1809,435
1810,442
1811,353
1812,173
1813,520
1814,539
1815,86
1816,478
1817,84
1818,528
1819,600
1820,49
1821,49
1822,70
1823,132
1824,320
1825,388
1826,432
1827,48
1828,120
1829,409
1830,551
1831,317
1832,490
1833,548
1834,31
1835,489
1836,311
1837,250
1838,63
1839,148
1840,584
1841,526
1842,156
1843,507
1844,472
1845,39
1846,34
1847,464
1848,310
1849,494
1850,41
1851,259
1852,394
1853,158
1854,175
1855,417
1856,59
1857,324
1858,272
1859,371
1860,251
1861,150
1862,167
1863,514
1864,528
1865,128
1866,24
1867,357
1868,480
1869,361
1870,524
1871,317
1872,200
1873,500
1874,431
1875,320
1876,201
1877,410
1878,225
1879,25
1880,568
1881,93
1882,31
1883,25
1884,488
1885,32
1886,301
1887,471
1888,381
1889,50
1890,179
1891,155
1892,464
1893,177
1894,385
1895,480
1896,474
1897,107
1898,32
1899,543
1900,231
1901,39
1902,127
1903,8
1904,433
1905,322
1906,318
1907,76
1908,118
1909,222
1910,315
1911,134
1912,399
1913,477
1914,151
1915,135
1916,21
1917,531
1918,91
1919,409
1920,282
1921,265
1922,28
1923,99
1924,554
1925,262
1926,448
1927,524
1928,316
1929,176
1930,309
1931,107
1932,512
1933,328
1934,493
1935,546
1936,231
1937,292
1938,583
1939,314
1940,530
1941,477
1942,428
1943,162
1944,352
1945,417
1946,476
1947,9
1948,319
1949,339
1950,22
1951,211
1952,590
1953,134
1954,57
1955,81
1956,4
1957,393
1958,473
1959,552
1960,489
1961,100
1962,193
1963,28
1964,376
1965,264
1966,401
1967,94
1968,277
1969,157
1970,340
1971,128
1972,241
1973,565
1974,417
1975,537
1976,278
1977,453
1978,580
1979,571
1980,329
1981,84
1982,457
1983,554
1984,396
1985,572
1986,428
1987,471
1988,324
1989,590
1990,503
1991,499
1992,46
1993,138
1994,9
1995,447
1996,441
1997,572
1998,368
1999,512
2000,568
2001,49
2002,403
2003,352
2004,223
2005,40
2006,174
2007,591
2008,142
2009,190
2010,442
2011,449
2012,215
2013,490
2014,136
2015,344
2016,16
2017,584
2018,98
2019,386
2020,430
2021,593
2022,295
2023,206
2024,598
2025,191
2026,41
2027,176
2028,345
2029,190
2030,437
2031,156
2032,595
2033,357
2034,326
2035,127
2036,416
2037,140
2038,333
2039,273
2040,60
2041,144
2042,546
2043,318
2044,413
2045,410
2046,264
2047,43
2048,488
2049,574
2050,112
2051,238
2052,444
2053,494
2054,172
2055,311
2056,423
2057,94
2058,5
2059,131
2060,395
2061,411
2062,36
2063,191
2064,556
2065,357
2066,50
2067,9
2068,552
2069,188
2070,13
2071,361
2072,140
2073,454
2074,47
2075,71
2076,239
2077,454
2078,44
2079,175
2080,150
2081,48
2082,584
2083,327
2084,228
2085,417
2086,522
2087,577
2088,322
2089,252
2090,569
2091,243
2092,2
2093,151
2094,194
2095,340
2096,548
2097,20
2098,291
2099,433
2100,68
2101,595
2102,87
2103,366
2104,257
2105,589
2106,582
2107,488
2108,426
2109,379
2110,320
2111,222
2112,310
2113,109
2114,383
2115,280
2116,504
2117,62
2118,566
2119,112
2120,6
2121,381
2122,569
2123,150
2124,101
2125,31
2126,554
2127,63
2128,370
2129,399
2130,101
2131,301
2132,279
2133,431
2134,529
2135,89
2136,440
2137,568
2138,556
2139,485
2140,281
2141,190
2142,153
2143,334
2144,526
2145,15
2146,385
2147,183
2148,414
2149,178
2150,147
2151,401
2152,549
2153,404
2154,57
2155,206
2156,197
2157,29
2158,473
2159,157
2160,128
2161,193
2162,4
2163,447
2164,245
2165,419
2166,511
2167,352
2168,380
2169,324
2170,115
2171,209
2172,247
2173,537
2174,155
2175,242
2176,456
2177,506
2178,529
2179,358
2180,25
2181,583
2182,574
2183,511
2184,580
2185,45
2186,165
2187,463
2188,143
2189,158
2190,354
2191,240
2192,499
2193,119
2194,500
2195,388
2196,154
2197,363
2198,219
2199,182
2200,90
2201,188
2202,600
2203,561
2204,290
2205,241
2206,313
2207,559
2208,400
2209,187
2210,61
2211,521
2212,365
2213,554
2214,266
2215,230
2216,310
2217,509
2218,544
2219,247
2220,536
2221,463
2222,113
2223,167
2224,190
2225,316
2226,312
2227,511
2228,90
2229,202
2230,356
2231,151
2232,166
2233,509
2234,527
2235,265
2236,406
2237,59
2238,271
2239,416
2240,548
2241,422
2242,256
2243,14
2244,366
2245,544
2246,187
2247,258
2248,240
2249,552
2250,16
2251,280
2252,66
2253,290
2254,283
2255,459
2256,407
2257,37
2258,494
2259,230
2260,425
2261,230
2262,171
2263,488
2264,27
2265,98
2266,12
2267,517
2268,541
2269,257
2270,201
2271,193
2272,62
2273,190
2274,237
2275,191
2276,473
2277,339
2278,78
2279,440
2280,134
2281,1
2282,47
2283,200
2284,283
2285,261
2286,203
2287,426
2288,583
2289,382
2290,224
2291,483
2292,140
2293,18
2294,310
2295,76
2296,358
2297,512
2298,11
2299,481
2300,260
2301,265
2302,76
2303,550
2304,386
2305,56
2306,434
2307,593
2308,264
2309,48
2310,574
2311,451
2312,139
2313,253
2314,290
2315,48
2316,14
2317,98
2318,238
2319,167
2320,237
2321,89
2322,164
2323,507
2324,365
2325,122
2326,569
2327,495
2328,547
2329,411
2330,216
2331,112
2332,592
2333,357
2334,588
2335,380
2336,70
2337,191
2338,569
2339,416
2340,553
2341,156
2342,456
2343,327
2344,132
2345,95
2346,405
2347,135
2348,79
2349,335
2350,47
2351,190
2352,315
2353,381
2354,4
2355,50
2356,418
2357,370
2358,326
2359,581
2360,302
2361,134
2362,454
2363,79
2364,156
2365,411
2366,67
2367,269
2368,323
2369,168
2370,103
2371,176
2372,527
2373,425
2374,527
2375,345
2376,501
2377,172
2378,437
2379,320
2380,459
2381,582
2382,467
2383,59
2384,318
2385,180
2386,429
2387,403
2388,46
2389,366
2390,292
2391,395
2392,530
2393,229
2394,395
2395,362
2396,323
2397,573
2398,544
2399,440
2400,200
2401,462
2402,592
2403,68
2404,526
2405,484
2406,15
2407,36
2408,34
2409,295
2410,564
2411,334
2412,444
2413,229
2414,349
2415,491
2416,33
2417,514
2418,19
2419,580
2420,309
2421,138
2422,460
2423,444
2424,595
2425,101
2426,521
2427,397
2428,28
2429,73
2430,324
2431,134
2432,287
2433,406
2434,257
2435,466
2436,530
2437,314
2438,21
2439,76
2440,382
2441,349
2442,487
2443,214
2444,456
2445,46
2446,177
2447,441
2448,225
2449,580
2450,202
2451,207
2452,44
2453,290
2454,196
2455,468
2456,31
2457,578
2458,150
2459,403
2460,424
2461,306
2462,181
2463,445
2464,101
2465,275
2466,524
2467,372
2468,552
2469,302
2470,60
2471,181
2472,53
2473,81
2474,353
2475,564
2476,74
2477,39
2478,412
2479,65
2480,138
2481,46
2482,270
2483,569
2484,37
2485,354
2486,176
2487,144
2488,472
2489,23
2490,460
2491,409
2492,428
2493,59
2494,535
2495,128
2496,270
2497,258
2498,61
2499,350
2500,50
2501,315
2502,481
2503,500
2504,381
2505,48
2506,432
2507,452
2508,262
2509,579
2510,529
2511,16
2512,119
2513,11
2514,27
2515,13
2516,350
2517,598
2518,451
2519,522
2520,322
2521,224
2522,536
2523,291
2524,597
2525,522
2526,589
2527,315
2528,421
2529,310
2530,66
2531,518
2532,374
2533,183
2534,519
2535,252
2536,336
2537,285
2538,591
2539,17
2540,232
2541,157
2542,444
2543,153
2544,437
2545,400
2546,13
2547,209
2548,50
2549,26
2550,417
2551,113
2552,171
2553,362
2554,262
2555,533
2556,317
2557,26
2558,155
2559,107
2560,127
2561,204
2562,14
2563,214
2564,487
2565,492
2566,467
2567,401
2568,402
2569,237
2570,545
2571,256
2572,508
2573,355
2574,562
2575,200
2576,336
2577,24
2578,48
2579,455
2580,84
2581,298
2582,575
2583,238
2584,373
2585,545
2586,218
2587,443
2588,474
2589,350
2590,37
2591,170
2592,535
2593,151
2594,508
2595,188
2596,545
2597,208
2598,327
2599,560
2600,161
2601,115
2602,540
2603,53
2604,198
2605,80
2606,279
2607,458
2608,171
2609,280
2610,7
2611,12
2612,275
2613,130
2614,24
2615,591
2616,84
2617,152
2618,344
2619,24
2620,103
2621,556
2622,200
2623,511
2624,554
2625,132
2626,242
2627,82
2628,560
2629,46
2630,210
2631,291
2632,207
2633,60
2634,226
2635,252
2636,91
2637,440
2638,301
2639,425
2640,539
2641,299
2642,328
2643,524
2644,288
2645,166
2646,56
2647,399
2648,558
2649,76
2650,508
2651,489
2652,8
2653,447
2654,552
2655,99
2656,244
2657,231
2658,146
2659,284
2660,144
2661,305
2662,285
2663,113
2664,560
2665,588
2666,232
2667,280
2668,310
2669,63
2670,363
2671,211
2672,244
2673,142
2674,21
2675,507
2676,240
2677,523
2678,588
2679,506
2680,269
2681,16
2682,378
2683,290
2684,458
2685,211
2686,400
2687,236
2688,1
2689,235
2690,234
2691,544
2692,214
2693,391
2694,230
2695,43
2696,593
2697,238
2698,298
2699,39
2700,323
2701,265
2702,522
2703,268
2704,193
2705,204
2706,443
2707,132
2708,168
2709,387
2710,575
2711,308
2712,205
2713,193
2714,101
2715,263
2716,351
2717,260
2718,588
2719,293
2720,388
2721,205
2722,340
2723,544
2724,412
2725,171
2726,57
2727,47
2728,246
2729,94
2730,261
2731,315
2732,126
2733,457
2734,344
2735,558
2736,487
2737,554
2738,550
2739,84
2740,346
2741,547
2742,46
2743,402
2744,115
2745,490
2746,251
2747,379
2748,589
2749,182
2750,249
2751,170
2752,122
2753,136
2754,173
2755,25
2756,440
2757,65
2758,153
2759,528
2760,571
2761,130
2762,91
2763,25
2764,595
2765,509
2766,176
2767,495
2768,42
2769,475
2770,330
2771,159
2772,356
2773,96
2774,484
2775,87
2776,347
2777,440
2778,358
2779,172
2780,15
2781,293
2782,578
2783,327
2784,558
2785,56
2786,289
2787,239
2788,309
2789,36
2790,170
2791,18
2792,203
2793,555
2794,568
2795,28
2796,174
2797,48
2798,239
2799,562
2800,557
2801,468
2802,251
2803,521
2804,361
2805,220
2806,150
2807,88
2808,25
2809,423
2810,276
2811,116
2812,584
2813,109
2814,291
2815,1
2816,573
2817,458
2818,324
2819,254
2820,55
2821,418
2822,81
2823,17
2824,475
2825,399
2826,506
2827,522
2828,60
2829,102
2830,432
2831,260
2832,253
2833,336
2834,197
2835,429
2836,182
2837,452
2838,102
2839,375
2840,280
2841,146
2842,87
2843,207
2844,439
2845,266
2846,585
2847,283
2848,491
2849,514
2850,594
2851,201
2852,571
2853,22
2854,121
2855,114
2856,391
2857,98
2858,564
2859,349
2860,175
2861,155
2862,496
2863,344
2864,518
2865,476
2866,276
2867,449
2868,373
2869,373
2870,547
2871,250
2872,261
2873,373
2874,420
2875,251
2876,293
2877,408
2878,599
2879,66
2880,275
2881,291
2882,103
2883,429
2884,147
2885,348
2886,502
2887,488
2888,306
2889,503
2890,514
2891,298
2892,213
2893,475
2894,330
2895,18
2896,171
2897,164
2898,348
2899,391
2900,355
2901,97
2902,391
2903,396
2904,596
2905,461
2906,319
2907,146
2908,71
2909,419
2910,418
2911,200
2912,107
2913,26
2914,566
2915,518
2916,437
2917,520
2918,13
2919,567
2920,313
2921,155
2922,343
2923,269
2924,297
2925,106
2926,482
2927,574
2928,529
2929,99
2930,288
2931,596
2932,101
2933,454
2934,470
2935,322
2936,48
2937,238
2938,588
2939,194
2940,106
2941,375
2942,77
2943,27
2944,204
2945,522
2946,597
2947,432
2948,179
2949,326
2950,490
2951,412
2952,479
2953,81
2954,456
2955,505
2956,503
2957,341
2958,189
2959,305
2960,339
2961,85
2962,422
2963,123
2964,318
2965,158
2966,204
2967,487
2968,414
2969,507
2970,263
2971,77
2972,256
2973,552
2974,317
2975,214
2976,21
2977,544
2978,62
2979,374
2980,291
2981,482
2982,431
2983,386
2984,345
2985,406
2986,26
2987,428
2988,340
2989,254
2990,382
2991,141
2992,383
2993,15
2994,432
2995,250
2996,234
2997,399
